frame,global_id,raw_global_id,offline_merged_into,local_tracker_id,class_name,detection_source,parent_class_name,roi_level,confidence,x1,y1,x2,y2,center_x,center_y,owner_id,owner_link_strength,owner_contact_frames,owner_separation_frames,owner_last_distance_px,stationary_frames,missing_frames,mask_area,used_mask_geometry,reidentified_count,good_snapshot_count,crop_quality,crop_quality_reason,last_observed_side,exit_side,entry_side
360,2,2,,4,person,main,,0,0.8605844378471375,28.8,119.21,457.21,475.63,243.0,297.42,,0.0,,,0.0,3,0,0,False,0,0,0.7,"bottom-edge,bad-aspect",left,,left
361,2,2,,4,person,main,,0,0.8873540759086609,21.08,112.98,458.5,466.52,239.79,289.75,,0.0,,,0.0,0,0,0,False,0,0,0.4,"left-edge,bad-aspect",left,,left
362,2,2,,4,person,main,,0,0.8986550569534302,13.25,114.99,458.99,466.65,236.12,290.82,,0.0,,,0.0,0,0,0,False,0,0,0.4,"left-edge,bad-aspect",left,,left
363,2,2,,4,person,main,,0,0.8918755650520325,7.69,117.72,458.8,469.35,233.24,293.53,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
364,2,2,,4,person,main,,0,0.8884038925170898,4.46,119.33,457.9,471.92,231.18,295.63,,0.0,,,0.0,1,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
365,2,2,,4,person,main,,0,0.8919703960418701,2.59,119.35,456.21,473.55,229.4,296.45,,0.0,,,0.0,2,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
366,2,2,,4,person,main,,0,0.8996983170509338,2.19,112.41,452.2,474.67,227.19,293.54,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
367,2,2,,4,person,main,,0,0.9415990710258484,1.27,102.44,447.37,475.69,224.32,289.06,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
368,2,2,,4,person,main,,0,0.9502732157707214,0.74,88.17,443.45,476.39,222.1,282.28,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
369,2,2,,4,person,main,,0,0.9507339596748352,1.57,72.58,440.8,474.58,221.19,273.58,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
370,2,2,,4,person,main,,0,0.9507339596748352,1.04,61.96,438.98,474.92,220.01,268.44,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
371,2,2,,4,person,main,,0,0.9381490349769592,0.74,47.12,437.64,475.65,219.19,261.38,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
372,2,2,,4,person,main,,0,0.9509462714195251,0.64,31.98,436.58,476.26,218.61,254.12,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,top-edge,bottom-edge,bad-aspect",left,,left
373,2,2,,4,person,main,,0,0.9523243308067322,7.57,19.97,436.76,476.79,222.16,248.38,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",left,,left
374,2,2,,4,person,main,,0,0.9483265280723572,15.37,11.66,437.83,477.21,226.6,244.43,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",left,,left
375,2,2,,4,person,main,,0,0.9390320181846619,23.1,6.76,439.95,477.44,231.53,242.1,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",left,,left
376,2,2,,4,person,main,,0,0.9364876747131348,29.92,3.92,443.09,477.33,236.51,240.62,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
377,2,2,,4,person,main,,0,0.9353832602500916,36.59,2.27,446.7,476.79,241.64,239.53,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
378,2,2,,4,person,main,,0,0.943009614944458,44.34,1.32,454.48,476.5,249.41,238.91,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
379,2,2,,4,person,main,,0,0.9397972822189331,51.57,0.83,463.63,476.03,257.6,238.43,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
380,2,2,,4,person,main,,0,0.9400702714920044,56.92,0.73,473.21,475.59,265.07,238.16,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
381,2,2,,4,person,main,,0,0.9376696348190308,60.59,0.71,482.67,475.41,271.63,238.06,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
382,2,2,,4,person,main,,0,0.9376696348190308,62.8,0.82,489.57,475.39,276.19,238.1,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
383,2,2,,4,person,main,,0,0.9356704354286194,65.14,0.63,497.66,475.59,281.4,238.11,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
384,2,2,,4,person,main,,0,0.9367408752441406,67.97,0.43,506.79,475.63,287.38,238.03,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
385,2,2,,4,person,main,,0,0.935172975063324,71.69,0.56,521.89,475.66,296.79,238.11,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
386,2,2,,4,person,main,,0,0.9397402405738831,76.87,0.79,538.36,475.47,307.61,238.13,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
387,2,2,,4,person,main,,0,0.9455429315567017,82.01,0.78,552.44,475.5,317.23,238.14,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
388,2,2,,4,person,main,,0,0.9401151537895203,85.95,0.84,563.53,475.65,324.74,238.24,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
389,2,2,,4,person,main,,0,0.9378368258476257,88.48,1.18,573.04,475.63,330.76,238.41,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
390,2,2,,4,person,main,,0,0.9312213659286499,89.39,1.04,582.5,476.07,335.95,238.55,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
391,2,2,,4,person,main,,0,0.9346988201141357,89.41,1.11,588.13,477.4,338.77,239.26,,0.0,,,0.0,1,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",bottom,,bottom
392,2,2,,4,person,main,,0,0.9336971640586853,89.14,1.15,590.93,478.49,340.04,239.82,,0.0,,,0.0,2,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",bottom,,bottom
393,2,2,,4,person,main,,0,0.9390231370925903,85.06,1.21,588.11,478.96,336.58,240.08,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",bottom,,bottom
394,2,2,,4,person,main,,0,0.9390231370925903,84.33,1.4,587.73,479.38,336.03,240.39,,0.0,,,0.0,1,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",bottom,,bottom
395,2,2,,4,person,main,,0,0.9378085136413574,84.39,1.68,586.81,479.64,335.6,240.66,,0.0,,,0.0,2,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",bottom,,bottom
396,2,2,,4,person,main,,0,0.9414060711860657,84.64,2.21,583.99,478.73,334.32,240.47,,0.0,,,0.0,3,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",bottom,,bottom
397,2,2,,4,person,main,,0,0.9426023960113525,84.99,2.07,572.67,478.4,328.83,240.23,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
398,2,2,,4,person,main,,0,0.9407943487167358,85.12,1.75,558.21,478.4,321.66,240.07,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
399,2,2,,4,person,main,,0,0.9360167384147644,85.27,1.66,543.1,478.41,314.18,240.03,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
400,2,2,,4,person,main,,0,0.9433165788650513,85.91,1.58,528.95,478.3,307.43,239.94,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
401,2,2,,4,person,main,,0,0.9454447627067566,85.33,1.43,506.63,478.14,295.98,239.78,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
402,2,2,,4,person,main,,0,0.9424085021018982,88.8,1.62,490.85,478.19,289.83,239.9,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",bottom,,bottom
403,2,2,,4,person,main,,0,0.9396428465843201,93.4,1.72,479.42,478.11,286.41,239.91,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
404,2,2,,4,person,main,,0,0.9349631071090698,100.71,1.56,470.26,477.61,285.48,239.58,,0.0,,,0.0,1,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
405,2,2,,4,person,main,,0,0.9360558986663818,107.99,1.48,463.85,477.01,285.92,239.24,,0.0,,,0.0,2,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
406,2,2,,4,person,main,,0,0.9371392726898193,114.74,1.36,459.86,476.44,287.3,238.9,,0.0,,,0.0,3,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
407,2,2,,4,person,main,,0,0.9397236704826355,123.21,1.8,455.61,476.02,289.41,238.91,,0.0,,,0.0,4,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
408,2,2,,4,person,main,,0,0.9378908276557922,131.35,2.19,452.4,475.74,291.87,238.96,,0.0,,,0.0,5,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
409,2,2,,4,person,main,,0,0.9332154989242554,127.74,2.64,440.07,475.67,283.9,239.15,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
410,2,2,,4,person,main,,0,0.9340662360191345,137.53,3.63,444.2,475.62,290.87,239.62,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",bottom,,bottom
411,2,2,,4,person,main,,0,0.9333057403564453,148.94,4.16,452.74,475.59,300.84,239.88,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",bottom,,bottom
412,2,2,,4,person,main,,0,0.9210078716278076,161.21,4.62,464.53,475.78,312.87,240.2,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",bottom,,bottom
413,2,2,,4,person,main,,0,0.9228525757789612,171.71,4.44,476.16,475.92,323.93,240.18,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",bottom,,bottom
414,2,2,,4,person,main,,0,0.9229897260665894,180.86,4.81,486.55,475.53,333.7,240.17,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",bottom,,bottom
415,2,2,,4,person,main,,0,0.9289656281471252,191.36,7.61,497.66,476.68,344.51,242.15,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",bottom,,bottom
416,2,2,,4,person,main,,0,0.9221226572990417,201.42,11.66,507.23,476.98,354.33,244.32,,0.0,,,0.0,0,0,0,False,0,1,0.95,bottom-edge,bottom,,bottom
417,2,2,,4,person,main,,0,0.9149001836776733,211.11,14.01,516.56,476.52,363.83,245.27,,0.0,,,0.0,0,0,0,False,0,2,0.95,bottom-edge,bottom,,bottom
418,2,2,,4,person,main,,0,0.9135617613792419,221.23,17.74,525.49,476.91,373.36,247.32,,0.0,,,0.0,0,0,0,False,0,3,0.95,bottom-edge,bottom,,bottom
419,2,2,,4,person,main,,0,0.9088473320007324,228.23,21.14,532.43,477.39,380.33,249.26,,0.0,,,0.0,0,0,0,False,0,4,0.95,bottom-edge,bottom,,bottom
420,2,2,,4,person,main,,0,0.9079292416572571,234.47,23.54,536.69,477.59,385.58,250.56,,0.0,,,0.0,0,0,0,False,0,5,0.95,bottom-edge,bottom,,bottom
421,2,2,,4,person,main,,0,0.8986581563949585,240.85,25.11,538.26,477.48,389.55,251.3,,0.0,,,0.0,0,0,0,False,0,6,0.95,bottom-edge,bottom,,bottom
422,2,2,,4,person,main,,0,0.8909158706665039,245.37,26.86,537.24,477.12,391.31,251.99,,0.0,,,0.0,1,0,0,False,0,7,0.95,bottom-edge,bottom,,bottom
423,2,2,,4,person,main,,0,0.9179622530937195,249.92,27.15,534.49,477.19,392.2,252.17,,0.0,,,0.0,2,0,0,False,0,8,0.95,bottom-edge,bottom,,bottom
424,2,2,,4,person,main,,0,0.9179622530937195,253.18,26.99,531.97,477.29,392.58,252.14,,0.0,,,0.0,3,0,0,False,0,8,0.95,bottom-edge,bottom,,bottom
425,2,2,,4,person,main,,0,0.8990788459777832,261.69,21.88,531.93,477.33,396.81,249.6,,0.0,,,0.0,0,0,0,False,0,8,0.95,bottom-edge,bottom,,bottom
426,2,2,,4,person,main,,0,0.8940923810005188,268.5,17.25,534.79,477.41,401.64,247.33,,0.0,,,0.0,0,0,0,False,0,8,0.6,"top-edge,bottom-edge",bottom,,bottom
427,2,2,,4,person,main,,0,0.8903312087059021,273.36,14.13,537.64,477.21,405.5,245.67,,0.0,,,0.0,0,0,0,False,0,8,0.6,"top-edge,bottom-edge",bottom,,bottom
428,2,2,,4,person,main,,0,0.8909273147583008,276.66,12.38,539.72,477.0,408.19,244.69,,0.0,,,0.0,1,0,0,False,0,8,0.6,"top-edge,bottom-edge",bottom,,bottom
429,2,2,,4,person,main,,0,0.902940571308136,279.98,11.71,544.77,476.43,412.38,244.07,,0.0,,,0.0,0,0,0,False,0,8,0.6,"top-edge,bottom-edge",bottom,,bottom
430,2,2,,4,person,main,,0,0.9149938821792603,283.44,12.37,551.8,476.05,417.62,244.21,,0.0,,,0.0,0,0,0,False,0,8,0.95,bottom-edge,bottom,,bottom
431,2,2,,4,person,main,,0,0.9154956340789795,286.81,14.86,558.09,475.74,422.45,245.3,,0.0,,,0.0,0,0,0,False,0,8,0.95,bottom-edge,bottom,,bottom
432,2,2,,4,person,main,,0,0.9145291447639465,289.74,18.71,568.49,476.86,429.12,247.79,,0.0,,,0.0,0,0,0,False,0,8,0.95,bottom-edge,bottom,,bottom
433,2,2,,4,person,main,,0,0.9136517643928528,291.47,22.16,581.34,478.14,436.4,250.15,,0.0,,,0.0,0,0,0,False,0,8,0.95,bottom-edge,bottom,,bottom
434,2,2,,4,person,main,,0,0.9176801443099976,292.7,25.89,599.44,478.61,446.07,252.25,,0.0,,,0.0,0,0,0,False,0,8,0.6,"right-edge,bottom-edge",right,,right
435,2,2,,4,person,main,,0,0.9144311547279358,291.17,28.66,614.47,478.02,452.82,253.34,,0.0,,,0.0,0,0,0,False,0,8,0.6,"right-edge,bottom-edge",right,,right
436,2,2,,4,person,main,,0,0.9312990307807922,288.85,31.41,625.19,477.89,457.02,254.65,,0.0,,,0.0,0,0,0,False,0,8,0.6,"right-edge,bottom-edge",right,,right
